Level,Location,SHC Ref No,System Ref No,Title,Date,Quantity,Column8,Column21,Column22,Column23,Column24,Column26,Column27,Column29
Collection,"Surrey History Centre, Woking",9902,9902,"ALISON CRAZE, AUTHOR AND LOCAL HISTORIAN OF GUILDFORD: COLLECTED RECORDS RELATING TO BROOKWOOD HOSPITAL, WOKING",1868-2008,2 bundles,"Many of the records in this collection were given to Ms Craze by Mrs Joy Hicks whose father, Albert Edward Allard (1897-1978), was an attendant (and later promoted to head attendant) at Brookwood Hospital. Mrs Hicks, who grew up at the hospital, was interviewed for The Lightbox's oral history project and her reminiscences feature in Alison Craze's book.","Presented by Ms Alison Craze in April 2018. The records were collected by Ms Craze during research for her book, 'From Asylum to Community Care, a history of Brookwood Hospital told by those who worked and lived there'. ","Presented by Alison Craze, author and local historian, of Guildford. The records were given to Ms Craze by various donors during research for her book, 'From Asylum to Community Care, a history of Brookwood Hospital told by those who worked and lived there’. Donors include Mrs Joy Hicks whose father, Mr Allard, was an attendant at Brookwood. Mrs Hicks' reminiscences and some of the photographs she donated are featured in the book.",,,"For the main collection of Brookwood Hospital records, see 3043/-.  Alison Craze, 'From Asylum to Community Care, a history of Brookwood Hospital told by those who worked and lived there' (2014)",,Catalogued
Collection,"Surrey History Centre, Woking",9938,9938,JENNIFER LOUIS OF WESTHUMBLE: ORAL HISTORY RECORDINGS,2017-2018,1 USB memory stick,"The material includes oral history recordings of Jennifer Louis of Westhumble, with summaries, clearance form and photographs, carried out by Mickleham and Westhumble Local History Group.",,"Deposited by Roger Davis of Westhumble, member of Mickleham and Westhumble Local History Group, in July 2018.","Jennifer Louis was born Jennifer Statham in Surbiton in 1932 and spent her early life in Esher, Capel and Westhumble.  After graduating from Edinburgh University in 1953, Jennifer obtained a post looking after the daughter of the British naval attache at the embassy in Moscow, Russia.  While in Russia she met the Soviet journalist Victor Louis (1928-1992), and after a brief time back at Westhumble, returned to the Soviet Union, where she married him in 1958.  They lived in Moscow for many years, Victor Louis providing information for western news outlets and with Jennifer writing a number of guidebooks on Moscow and the Soviet Union and the directory 'Information Moscow' for foreigners in Moscow.  Victor Louis died in 1992, but Jennifer Louis did not finally return permanently to Westhumble until 2004.\r\n\r\nThe oral history recordings capture much detail about Jennifer Louis' extraordinary and varied life.",,,,
Item,"Surrey History Centre, Woking",9938/1/1-4,9938/1,Jennifer Louis of Westhumble: oral history recordings.  4 files in .wav file format,2017-2018,,,01/01/2049,CLO,,,,,
Item,"Surrey History Centre, Woking",9938/2,9938/2,"USB memory stick, containing original digital copies of the oral history recordings of Jennifer Louis of Westhumble, with attached label identifying it as Mickleham and Westhumble Local History Group oral history project MWOH003",2017-2018,,,01/01/2049,CLO,,,,,
Item,"Surrey History Centre, Woking",9938/3/1-4,9938/3,Summaries of the contents of the oral history recordings of Jennifer Louis of Westhumble.  4 files in Word .doc file format,2017-2018,,,01/01/2049,CLO,,,,,
Item,"Surrey History Centre, Woking",9938/5/1-2,9938/5,Introduction to the oral history project and clearance form signed by Jennifer Louis.  2 files in Word .doc and .jpg format,2018,,,01/01/2049,CLO,,,,,
Collection,"Surrey History Centre, Woking",9967,9967,KEEPING US IN MIND ORAL HISTORY PROJECT: DIGITAL RECORDINGS RELATING TO THE EPSOM CLUSTER OF PSYCHIATRIC HOSPITALS,2013-2018,109 digital files in 55 folders; 27.4Gb of data,"A few recordings contain material which the interviewee wished to be redacted, and in four instances the interviewee wished to remain anonymous; other recordings are available for public consultation.","Deposited by Kirstie Arnould, project manager, in October 2018. Love Me Love My Mind is a small registered charity based in Epsom which aims to promote better understanding of mental health and to support the wellbeing of everyone in the community.  Keeping Us in Mind was an oral history project, funded by the Heritage Lottery Fund, and supported by Surrey Heritage and Bourne Hall Museum, to collect the stories of people who lived in, worked at, or were in any way affected by Epsom's cluster of psychiatric hospitals, which included Horton, The Manor, Long Grove, West Park and St Ebba's.  Those interviewed included former patients and staff and members of the local community.  A total of 53 interviews were collected.",,,The charity's website is http://www.lovemelovemymind.org.uk,,,Catalogued
Series,"Surrey History Centre, Woking",9967/1/,9967/1,ORAL HISTORY RECORDINGS AND SUMMARIES,2013-2018,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/1,9967/1/1,Oral history recording of Nick Barry.  Digital file in mp3 format,2016,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/2,9967/1/2,Oral history recording of Sheila Berry.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/3,9967/1/3,"Oral history recording of Raj and Theresa Bheenick, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/4,9967/1/4,Oral history recording of Seymour Bourne.  Digital files in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/5,9967/1/5,Oral history recording of Deborah Bruce.  Digital files in mp3 and wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/6,9967/1/6,"Oral history recording of Linda Bryan, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/7,9967/1/7,Oral history recording of Patricia Capobianco.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/8,9967/1/8,"Oral history recording of Mark Cardwell, with written summary.  Digital files in mp3 and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/9,9967/1/9,"Oral history recording of Lynda Carless, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/10,9967/1/10,"Oral history recording of Susana Cater, with written summary.  Digital files in mp3 and doc format",2015,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/11,9967/1/11,Oral history recording of Anthony Catherall.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/12,9967/1/12,"Oral history recording of Susan [anonymous surname], with written summary.  Digital files in mp3, wav and doc format",2017,,"Susan Claridge, surname not to be revealed",01/01/2118,CLO,,,,,
Item,"Surrey History Centre, Woking",9967/1/13,9967/1/13,"Oral history recording of Timothy John Cole, with written summary.  Digital files in mp3 and doc format",2016,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/14,9967/1/14,Oral history recording of Francis Hugh Connolly.  Digital file in mp3 and wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/15,9967/1/15,"Oral history recording of Moira Cooke, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/16,9967/1/16,"Oral history recording of Eileen [anonymous surname], with written summary.  Digital files in wav and doc format",2017,,"Eileen Dann, surname not to be revealed.  A redacted copy is available",01/01/2118,CLO,,,,,
Item,"Surrey History Centre, Woking",9967/1/17,9967/1/17,"Oral history recording of Ann-Julia Dawson, with written summary.  Digital files in mp3, wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/18,9967/1/18,Oral history recording of Brian Derbyshire.  Digital files in mp3 and wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/19,9967/1/19,"Oral history recording of Clive Driscoll, with written summary.  Digital files in mp3 and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/20,9967/1/20,Oral history recording of Francis Dummigan.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/21,9967/1/21,"Oral history recording of Michael Evans, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/22,9967/1/22,Oral history recording of Joanna Favero.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/23,9967/1/23,Oral history recording of Joy Foreman.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/24,9967/1/24,Oral history recording of Beryl and Juan Luis Aguiar Galan.  Digital files in mp3 format,2016,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/25,9967/1/25,Oral history recording of Shushilla Gheerawo (known as Veena).  Digital files in mp3 and wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/26,9967/1/26,Oral history recording of Kathleen Gregory.  Digital file in mp3 format,2016,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/27,9967/1/27,Oral history recording of Helen [anonymous surname].  Digital files in mp3 format,2017,,"Helen Griffin, surname not to be revealed",01/01/2118,CLO,,,,,
Item,"Surrey History Centre, Woking",9967/1/28,9967/1/28,Oral history recording of Robert Hill.  Digital file in wav format,2018,,Reference to mother's condition.  A redacted copy is available,01/01/2118,CLO,,,,,
Item,"Surrey History Centre, Woking",9967/1/29,9967/1/29,Oral history recording of Tony and Joan Hill.  Digital files in mp3 and wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/30,9967/1/30,Oral history recording of Jane Ingram.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/31,9967/1/31,"Oral history recording of Dan Jacobson, with written summary.  Digital files in wav and doc format",2016,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/32,9967/1/32,"Oral history recording of Lisa Jones, with written summary.  Digital files in mp3 and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/33,9967/1/33,"Oral history recording of John Lavery, with written summary.  Digital files in mp3 and doc format",2016,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/34,9967/1/34,Oral history recording of Brian Leedham.  Digital file in mp3 format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/35,9967/1/35,Oral history recording of Michael Leonard.  Digital files in mp3 and wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/36,9967/1/36,"Oral history recording of Monique Littleales (formerly Webb), with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/37,9967/1/37,"Oral history recording of Gordon Livesey, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/38,9967/1/38,"Oral history recording of Sheila MacPherson, with written summary.  Digital files in wav and doc format",2014-2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/39,9967/1/39,"Oral history recording of Mandy McCann, with written summary.  Digital file in mp3, wav and doc format",2014,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/40,9967/1/40,"Oral history recording of Ray O'Donohue, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/41,9967/1/41,"Oral history recording of Mike Ody, with written summary.  Digital files in mp3, wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/42,9967/1/42,"Oral history recording of Jacqui Oliver, with written summary.  Digital files in mp3 and doc format",2013,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/43,9967/1/43,Oral history recording of Maureen O'Malley.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/44,9967/1/44,Oral history recording of Peggy Organ.  Digital file in wav format,2017,,Name of patient in recording not to be revealed.  A redacted copy is available,01/01/2118,CLO,,,,,
Item,"Surrey History Centre, Woking",9967/1/45,9967/1/45,"Oral history recording of Steven Reeves and his father, with written summary.  Digital files in wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/46,9967/1/46,Oral history recording of Felicity Ross.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/47,9967/1/47,Oral history recording of Jeremy Ross.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/48,9967/1/48,Oral history recording of Janet Searle.  Digital file in wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/49,9967/1/49,Oral history recording of Michael and Ljubicia Sexstone.  Digital file in mp3 format,2016,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/50,9967/1/50,"Oral history recording of Roy Shuttleworth, with written summary.  Digital files in mp3, wav and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/51,9967/1/51,"Oral history recording of Tracey Taylor, with written summary.  Digital files in mp3 and doc format",2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/52,9967/1/52,Oral history recording of Mary Jean Webster.  Digital files in mp3 and wav format,2017,,,,,,,,,
Item,"Surrey History Centre, Woking",9967/1/53,9967/1/53,Oral history recording of Cliff [anonymous surname].  Digital files in mp3 and wav format,2017,,"Cliff Wright, surname not to be revealed",01/01/2118,CLO,,,,,
Item,"Surrey History Centre, Woking",10169/1/40,10169/1/40,Philippa Secretan of Farnham: Covid-19 oral history project,2021,,"Comprises interviews, originally deposited on a USB memory stick, with friends Bill and Daniel Wilson, project manager and his son aged 8 years approximately, and Ian Fischer, self-employed driving instructor; Kimberley James, Gilbert White's House at Selborne, Hampshire; Julia Weaver and Clio O'Sullivan, Chawton House, Hampshire; Pat Lerew, Alton Regency Week.\r\n\r\nAlso includes print to PDF from heritage blog, a guide to heritage in Surrey and Hampshire (https://philippa45.wordpress.com/), letter submitting the material for the archives, and paper copies of oral history recording consent and agreement forms.",,,,,,,
Collection,"Surrey History Centre, Woking",10176,10176,ALBERT D BROWN OF OXTED: PAPERS RELATING TO THE 1948 OLYMPIC TORCH RELAY,1948-2012,1 bundle,,"Presented by Mr Robin Goddard of Stockport in July 2020. Mr Goddard acquired the items when he purchased at auction the 1948 Olympic torch belonging to one of the torchbearers, Albert D Brown. ","Albert (Bert) Brown was the second torchbearer on the Surrey section of the Olympic torch relay on 29 July 1948.  The route ran from the Kent/Surrey border at Westerham to Bagshot Park.  Mr Brown, a member of Oxted, Limpsfield and Tandridge Sports Club, carried the torch from Limpsfield to Crowhurst Cross Road, Oxted. ",,"Presented by Mr Robin Goddard of Stockport in July 2020. Mr Goddard acquired the items when he purchased at auction the 1948 Olympic torch belonging to one of the torchbearers, Albert Dennis Brown. Mr Brown was a member of Oxted, Limpsfield and Tandridge Sports Club and the second torchbearer of the Surrey section.  For other photographs of Walter Humphreys and Albert Brown carrying the Olympic torch, see PH/114/2-6. \r\n\r\nFor oral history recordings of 1948 Olympic torchbearer, Austin Playfoot, 2010, see 8404/2/-.",,,Catalogued
Item,"Surrey History Centre, Woking",10201/Box6/22,10201/29,"Eight cassette tapes:-\r\n1. Oral history. Mr Rudkin and Miss Gladys Dale of Walton on Thames;\r\n2. Oral history. Miss Annette Stirling (aged over 100) ex nurse in World War I;\r\n3. Oral history. Miss Annette Stirling on Walton places and people;\r\n4. Oral history. Miss Gladys Ward and John Stonebanks on old Walton, 1975;\r\n5. Nicola Beauman talking to Humphrey Carpenter about EM Forster on BBC Radio 4, 4 May 1993;\r\n6-7. History of Walton on Thames by Michael Blackman, TVT Newspaper;\r\n8. A talk by Rowland Baker on the history of the Home of Compassion, Thames Ditton.\r\n\r\nSome of the material on these tapes was published in 'Memories of Walton and Weybridge'",c.1975-1993,,,,,,,,,
Collection,"Surrey History Centre, Woking",10274,10274,"LETTERS FROM THE BISHOP OF WINCHESTER, 1787-1839; COPIES OF COURT ROLL, MANORS OF BISHOPS SUTTON AND STAINES, (1785)-1812; PHOTOGRAPHS OF WAVERLEY ABBEY AND GROUNDS, c.1979; KEEPING MEMORIES ALIVE: CDs OF COMMUNITY ORAL HISTORY PROJECT ON OCKFORD RIDGE AND AARON'S HILL, GODALMING, 2006-2007",1785-2007,8 items,,"Presented by Duncan Mirylees of Farncombe in June and August 2021.  The copy of court roll relating to Barford Mill was purchased from a stall at Farnham Maltings in February 2020, and the copy of court roll of the manor of Staines, and the letters from the Bishop of Winchester were purchased from Lesley Aitchison (Ambra Books) of Redland, Bristol, the former in May 2020.",,,,,,Catalogued
Series,"Surrey History Centre, Woking",10274/4/,10274/4,,2006-2007,,No,"The project was promoted by Godalming Museum and other partners, with funding from the Heritage Lottery Fund.",,,,,Catalogued,a45feb09-275d-4f53-b65d-1f2e2892c8d8
Item,"Surrey History Centre, Woking",10274/4/1,10274/4/1,"Keeping Memories Alive, community oral history project on Ockford Ridge and Aaron's Hill, Godalming: CD compilation of excerpts from interviews and photographs on the themes of 'A community is born', 'Making a living', 'Locals at war', and 'Childhood'",2006-2007,,,,,,,,,
Item,"Surrey History Centre, Woking",10274/4/2,10274/4/2,"Keeping Memories Alive, community oral history project on Ockford Ridge and Aaron's Hill, Godalming: audio CD compilation of interviews",2006-2007,,"The disc contains: track 1, introduction - a community is born; track 2, childhood, teenage years; track 3, life in World War 2; track 4, developing community; track 5, employment opportunities; track 6, a final word and credits.",,,,,,,
Collection,"Surrey History Centre, Woking",10301,10301,MEMORIES OF WALTON: DVDS OF ORAL HISTORY REMINISCENCES BY WALTON ON THAMES RESIDENTS,2010-2016,2 DVDs,,Presented by Mr Melvyn Mills of Walton on Thames in September 2021.  The interviews were carried out by Mr Mills and a neighbour.,,,,,,Catalogued
Item,"Surrey History Centre, Woking",10301/1-2,10301/1,Memories of Walton: DVDs of video compilations of Walton on Thames residents' oral history reminiscences,2010-2016,,"Contents include Nettlefold Film Studios and Cecil Hepworth, Julie Andrews, Regent Picture House, Regal Cinema, Walton on Thames in the Second World War, air raid on Vickers at Brooklands, cricket in Ashley Park, St Mary's church, Walton on Thames bridges, and the Walton Hop.\r\n\r\nDisc 1 running time is 11 minutes 2 seconds, produced 2010, and disc 2 running time is 21 minutes 45 seconds, produced 2016.  Producer Melvyn Mills.",,,,,,,
Collection,"Surrey History Centre, Woking",10357,10357,LIVES IN THE COUNTY OF SURREY: ORAL HISTORY RECORDINGS,2020-2021,2 recordings stored in folders of digital files,,,Transferred by the Surrey in the Great War oral history project team in February 2022,"Lives in the County of Surrey is aimed at promoting a sense of identity, place and community and enabling individuals to engage with, explore and better understand their local and national heritage.  Surrey Heritage is looking to interview anyone who has a family story about Surrey to tell. We aim to record people's memories and stories about their own and their family's experiences during this time.  Stories of everyday life such as school days, time at work and time with family are valuable memories which are part of our history. We want to record these testimonies before they are forgotten or overlooked.",,,,
Series,"Surrey History Centre, Woking",10357/1,10357/1,TREVOR AND WILLIAM MATTHEWS,2021,,"The oral history interview was conducted on 26 October 2021.  Subjects covered included:\r\n\r\nWindlesham - Prisoner of War Camp, Brick Hill, Valley End School, Chobham Clump, Updown Hill, Windlesham Institute, farms, land girls, Nunnery, buses, local businesses, shops, pubs, Bagshot, Chobham, Sunningdale;\r\nPOW Camp - Germans, Italians, Nissan huts, food, cooking, heating, amenities (electricity, water), entertainment, games, Christmas, cold winter, hot summer, water tower;\r\nSecond World War - POWs, tanks, 'ack ack' guns, rationing;\r\nPrisoners of War - Germans, Italians, employment, parade square, uniform, football, Bert Trautmann, Eric the German, children's toys, marrying local girls;\r\nFamily - Parents, sister, uncles, aunts, Knaphill, Old Woking, Westfield;\r\nChildhood - Education, home life, hardship, games, scrumping;\r\nEducation - Valley End School, teachers, classrooms, canteen, coach to school, walking to and from school, lifts from milkman;\r\nChobham Common - Film making, Laurence Olivier, films: Beggar's Opera and Danger Within",,,,,,,
Series,"Surrey History Centre, Woking",10357/2/,10357/2,SHEILA SIMMONDS,2020,,"The oral history interview was conducted on 27 February 2020.  Subjects covered included:\r\n\r\nLife in Croydon during the Second World War and afterwards;\r\nPlaying - Cricket, hopscotch, What's the time Mr. Wolf;\r\nAnderson shelter - Garden, dining room and 5-year bedroom;\r\nAir raid - First visit out, first daytime raid;\r\nStreet party - First clown, first bit of fun;\r\nFood - Range limited, meat difficult, bought from street market;\r\nEntertainment - Cinemas and theatres",,,,,,,
Collection,"Surrey History Centre, Woking",10484,10484,"'THE LIVING AND THE DEAD: EXPLORING MINORITY BURIAL GROUNDS IN BROOKWOOD CEMETERY, SURREY': PROJECT PAPERS AND ORAL HISTORY RECORDINGS",2015-2022,,"Oral history recordings deposited by Dr Ole Jensen, project manager, and other papers transferred from Surrey Heritage Service, in March 2023.  These records are the outcome of the National Lottery Heritage Fund-funded project 'The Living and the Dead: Exploring minority burial grounds in Brookwood Cemetery, Surrey'. The project was implemented over a two-year period from September 2020 to September 2022. It was led by Woking Asian Business Forum, working with Brookwood Cemetery, Surrey History Centre, The Lightbox and Brookwood Cemetery Society.\r\n\r\nUnknown to most, Brookwood Cemetery (Surrey HER Park and Garden 3723) is host to the highest concentration of minority burial grounds in the UK. Apart from a wide range of Muslim burial grounds, dating from 1884, these include the first Zoroastrian burial ground established in Europe, in 1862. These burial grounds constitute an important part of Brookwood Cemetery, and they represent a unique cultural heritage that has so far remained undocumented. The aim of the project was to collect information about the burial grounds and make this information available to the public.  Various strands of the project included conducting oral history interviews with a range of people associated with the Cemetery, making a film about the minority burial grounds in the Cemetery, and recording data about minority burials from the burial registers.",,,,,,Catalogued,71d23aa1-7d90-4cf7-a5e3-c8f5e2e40235
Series,"Surrey History Centre, Woking",10484/1/,10484/1,ORAL HISTORY RECORDINGS,2021-2022,,,,,,,,,
Item,"Surrey History Centre, Woking",10484/2/3/1-6,10484/2/3/1,"Papers relating to project outputs, including sample oral history participation and recording agreements; text of project pages on Exploring Surrey's Past website; photographs of minority burial grounds at Brookwood Cemetery; information about spreadsheet of data relating to minority burials in Brookwood Cemetery, 1854-2016; text and images of exhibition panels at the Lightbox, Woking; documentary film 'Brookwood: The Living and the Dead', including transcript",2020-2022,,,,,,,,,
Collection,"Surrey History Centre, Woking",CC1174,CC1174,SURREY HEATHLAND PROJECT: TAPED INTERVIEWS AND SUMMARIES OF REMINISCENCES OF PEOPLE RESIDING ON SURREY HEATHLAND,1997-2003,,,"Transferred by Jenny Page and Marcus Tully, Surrey Heathland Project, in September 2009.","In 1988 Surrey County Council and the Nature Conservancy Council published 'A Strategy for Surrey Heathland'. The study highlighted that Surrey had lost over 85% of its heathland since the late 18th century.\r\n\r\nAs a result, in 1989 the Heathland Countryside Management Project (later to become Surrey Heathland Project) was set up to help stop the decline. The project initially carried out practical work with help from committed volunteers, using hand tools to clear scrub and control bracken on hundreds of hectares of heathland. However it became clear that this method could not keep pace with the rolling tide of scrub invasion. To make best use of limited resources, the project increasingly used chainsaw operators and contractors with machinery.\r\n\r\nIn 2002 the Surrey Heathland Project began to manage a 5 year programme of heathland restoration work called Surrey's Last Wilderness on behalf of a partnership of 13 organisations. This was part of a large-scale national scheme with £1 million funding from the Heritage Lottery Fund. Surrey's Last Wilderness achieved over 1,000 hectares of heathland management and restoration, and introduced conservation grazing to manage 900 hectares of heathland.\r\n\r\nPart of the project included raising awareness of heathland and to promoting its value. The reminiscences of people who live and work on Surrey heathlands proved a valuable contribution to the project demonstrating how important and sustaining areas of heathland are to local communities.",Open,,There are no access restrictions.,,
Item,"Surrey History Centre, Woking",CC1174/2/1,CC1174/2/1/1/1,Audio cassette tape featuring the reminiscences of Mrs Kitty Tharrett of Beacon Hill,6 Jun 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/2,CC1174/2/1/1/2,Audio cassette tape featuring the reminiscences of Mr John Chuter of Frensham,6 Jun 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/3,CC1174/2/1/1/3,Audio cassette tape featuring the reminiscences of Mr Eddie Gale of Thursley,6 Jun 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/4,CC1174/2/1/1/4,Audio cassette tape featuring the reminiscences of Mrs Eileen Chapman of Beacon Hill,19 Jun 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/5,CC1174/2/1/1/5,Audio cassette tape featuring the reminiscences of Ms Beatrice Plaw of Peaslake,20 Jun 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/6,CC1174/2/1/1/6,Audio cassette tape featuring the reminiscences of Mr Albert Tugwell of Albury,20 Jun 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/7,CC1174/2/1/1/7,"Audio cassette tape featuring the reminiscences of Mr Percy Small of West End, Chobham. 2 cassettes",3 Jul 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/8,CC1174/2/1/1/8,Audio cassette tape featuring the reminiscences of Mr Jim Rice of Pirbright,3 Jul 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/9,CC1174/2/1/1/9,Audio cassette tape featuring the reminiscences of Mr John Wynter Bee of West End/Brentmoor Heath,10 Jul 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/10,CC1174/2/1/1/10,Audio cassette tape featuring the reminiscences of Mrs Lucy Glaysher of Frensham,15 Jul 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/11,CC1174/2/1/1/11,Audio cassette tape featuring the reminiscences of Mrs Hilda Rollinson of Frensham. 2 cassettes,15 Jul 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/12,CC1174/2/1/1/12,Audio cassette tape featuring the reminiscences of Mr Les Bonner of Frensham. 2 cassettes,17 Jul 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/13,CC1174/2/1/1/13,"Audio cassette tape featuring the reminiscences of Mr Vernon Kurn of Smarts Heath, Woking",15 Aug 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/14,CC1174/2/1/1/14,Audio cassette tape featuring the reminiscences of Mrs Marjorie Dowling of Pirbright,19 Aug 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/15,CC1174/2/1/1/15,"Audio cassette tape featuring the reminiscences of Mr Richard Wilson of Streets Heath, Woking",19 Aug 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/16,CC1174/2/1/1/16,Audio cassette tape featuring the reminiscences of Mr M Knight of Chobham,19 Aug 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/17,CC1174/2/1/1/17,Audio cassette tape featuring the reminiscences of Mr Francis Hayes of Blackheath,5 Sep 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/18,CC1174/2/1/1/18,Audio cassette tape featuring the reminiscences of Mrs Billy Hockley of Blackheath,5 Sep 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/19,CC1174/2/1/1/19,Audio cassette tape featuring the reminiscences of Mrs Mary Donald of Lightwater,11 Sep 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/20,CC1174/2/1/1/20,Audio cassette tape featuring the reminiscences of Mr Bernie Ellis of Worplesdon,11 Sep 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/21,CC1174/2/1/1/21,Audio cassette tape featuring the reminiscences of Mrs Win Watkins of Pirbright,11 Sep 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/22,CC1174/2/1/1/22,Audio cassette tape featuring the reminiscences of Mrs Joy Mason of Chobham,10 Oct 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/23,CC1174/2/1/1/23,"Audio cassette tape featuring the reminiscences of Mrs Olive Wright of Streets Heath, Woking",10 Oct 1997,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/24,CC1174/2/1/1/24,Audio cassette tape featuring the reminiscences of Miss Pam Eames of Churt,20 Oct 1997,,A digital copy of this is also available.,,,,Open,,,
Item,"Surrey History Centre, Woking",CC1174/2/25,CC1174/2/1/1/25,Audio cassette tape featuring the reminiscences of Mrs Ruth Deadman of Churt,6 Nov 1997,,A digital copy of this is also available.,,,,Open,,,
Item,"Surrey History Centre, Woking",CC1174/2/26,CC1174/2/1/1/26,Audio cassette tape featuring the reminiscences of Mr Bill Collier of Whitmoor Common,29 Jan 1998,,,,,Open,,,,
Item,"Surrey History Centre, Woking",CC1174/2/27,CC1174/2/1/1/27,Audio cassette tape featuring the reminiscences of Mr Lacock of Whitmoor Common,26 Feb 1998,,,,,Open,,,,
